speed_p	speed_r	speed_d	distance_d_p	distance_d_r	distance_d1_p	distance_d2_r	angle_d	angle_d1_p	angle_d2_r	possTimePre	possessionTime	flag
1.35	1.03	1.46	13.79	16.01	4.77	10.82	0.52	1.11	1.98	1.88	13.96	1
2.46	4.85	3.25	4.94	12.87	4.94	12.87	1.6	1.6	1.08	0.56	15.64	1
2.15	3.34	4.37	6.79	10.07	6.79	7	0.43	0.43	0.83	2.04	18.8	1
0.35	1.25	1.52	4.67	12.03	4.3	8.41	2.96	0.29	2.44	1.08	20.48	1
3.95	2.69	5.77	4.3	28.57	4.3	19.95	1.05	1.05	0.82	3.12	24.96	1
0.79	2.06	3.91	9.2	15.13	5.01	11.32	1.07	1.32	0.21	3	29.04	1
0.9	4.12	2.66	0.64	9.86	0.64	9.86	0.24	0.24	0.61	0.64	24.52	1
2.51	4.28	4.37	2.08	26.74	2.08	2.1	2.74	2.74	0.33	2.12	29.4	1
5.52	2.7	6.17	3.14	17.21	3.14	2.02	0.09	0.09	2.83	7.04	55.16	0
4.83	6.17	5.76	5.81	17.11	1.86	3.16	2.96	3.03	0.04	0.76	3.28	1
3.4	0.9	4.67	3.31	13.64	3.31	11.81	0.25	0.25	0.01	2	2.56	1
0.5	1.06	3.01	28.04	57.3	2.61	28.7	0.02	0.56	0.45	0.84	5.32	0
2	3.18	0.25	5.56	7.4	5.56	1.7	1.71	1.71	1.93	0.8	18.28	1
3.91	3.75	1.68	1.3	4.26	1.3	4.26	0.95	0.95	2.03	2.36	7.2	0
2.3	4.92	4.53	37.95	39.25	2.91	14.71	0.14	0.91	0.58	1.12	2.24	0
3.09	4.37	3.58	7.6	14.21	7.6	10.3	1.28	1.28	1.71	2.84	3.96	1
2.85	1.41	2.8	11.96	9.27	1.42	9.27	1.62	1.88	1.01	3.04	8.12	1
3.2	5.83	6.18	4.65	8.22	4.65	8.22	1.04	1.04	0.21	1.28	10.84	1
1.95	2.24	5.27	3.93	16.1	3.93	5.52	0.51	0.51	0.8	1.68	16.2	0
1.27	0.5	4.01	10.31	6.66	4.48	6.66	1.09	0.03	0.29	0.48	1.2	1
1.9	1.35	2.85	9.26	7	2.68	7	0.3	1.85	1.89	3.76	6.48	0
5.39	5.34	3.34	0.5	7.28	0.5	4.61	2.41	2.41	0.45	2.2	2.36	1
1.12	6.09	5.32	1.92	12.58	1.92	2.97	2.17	2.17	1.05	1.64	5.64	1
5.02	2.12	5.67	12.03	85.5	1.61	32.6	0.01	0.05	0.13	0	7.8	0
3.91	1.68	1.6	3.08	17.54	3.08	17.54	0.47	0.47	0.02	7.24	61.32	1
1.41	1.58	2.57	13.85	9.4	13.85	9.4	0.3	0.3	0.77	1.44	63.36	1
1.82	4.04	3.51	15.21	21.57	8.82	21.57	0.2	0.4	0.06	5.8	72.68	1
4.6	3.76	5.39	0.78	17.04	0.78	5.2	1	1	1.12	1	74.12	1
1.77	9.06	4.91	9.98	7	3.78	7	1.91	0.08	1.4	0.68	75.88	1
4.47	3.76	0.9	13.09	1.91	5.45	1.91	1.9	2.81	0.64	1.08	78.84	1
2.25	5.51	6.56	4.33	9.22	4.33	3.11	1.56	1.56	0.85	0.28	80.8	1
8.31	4.81	3.13	3.26	27.41	3.26	5.63	0.15	0.15	1.87	1.52	83.52	1
7.38	5.3	8.28	1.9	10.5	1.33	5.02	3.14	1.34	1.49	6.76	90.88	1
4.98	3.26	4.14	1.3	26.24	1.3	18.52	0.06	0.06	0.01	6.4	112	1
0.56	4.28	2.3	8.81	20.39	5.8	3.62	0.32	1.14	0.6	2.28	119.88	1
8.7	6.25	5.64	4.8	2.4	1.6	2.4	2.01	2.01	0.41	0	0.44	1
12.2	7.07	5.01	4.41	7.53	1.49	7.53	2.11	0.28	0.12	2.92	4.28	1
2.5	4.25	5.52	4.68	16.81	4.68	2.47	0.35	0.35	0.62	0.88	36.12	1
3.81	1.5	1.25	10.24	24.03	1.4	9.38	0.16	0.35	0.01	3.36	40.36	0
0.9	0.56	0.9	6.73	11.07	6.73	9.01	0.45	0.45	0.84	1.68	10.48	1
1.25	1.77	2.8	10.72	8.01	10.72	8.01	0.71	0.71	1.42	0	11.16	1
1	1.12	1.25	2.46	17.43	2.46	16.55	1.25	1.25	0.29	4.72	16.24	1
0.56	2.06	1.95	8.94	10.25	8.94	6.85	0.58	0.58	0.6	3.48	20.12	1
2.57	0.56	3.29	8.12	5.46	1.52	5.46	3.1	0.29	0.43	1.16	23.12	1
0.9	1.8	2.3	34.44	8.54	3.18	8.54	0.05	1.15	0.65	0	31.6	0
1.9	1.52	0.56	21.33	27.9	1.58	13.32	0.13	2.25	2.43	0.36	9.4	0
3.25	1.75	0.71	21.73	24.82	0.9	2.36	0.37	3.08	0.59	0.44	1.88	0
2.02	5.94	4.74	3.89	12.15	1.66	12.15	1.74	1.94	0.88	1.36	2.2	1
1.68	0.25	4	24.01	48.41	4.72	27.95	0.03	2.43	0.48	3.4	8.92	0
1.58	1.27	2.76	1.14	10	1.14	6.4	1.86	1.86	1.07	1.16	1.36	1
0.75	0.35	3.34	2.51	10.41	2.51	10.41	2.99	2.99	0.05	4.32	21.44	1
3.02	1.35	3.4	6.58	9.82	6.58	5.99	0.05	0.05	2.67	0.32	22.84	1
3.04	1.68	2.3	1.98	19.68	1.98	19.68	0.16	0.16	0.32	0.76	25.16	1
2.85	4.03	4.25	11.96	21.71	11.96	18.34	0.82	0.82	0.35	2.4	28.84	1
0.5	2.5	0.35	7.67	5.22	7.67	2.52	0.94	0.94	2.05	2.8	33.44	1
1.46	5.03	3.26	4.65	0.78	3.4	0.78	0.26	2.23	2.06	1.88	35.32	1
1.82	6.05	3.01	0.41	9.06	0.41	5.5	0.27	0.27	1.73	0.12	37.2	1
0.71	1.75	3.76	1.64	10.68	1.64	10.68	0.24	0.24	0.29	2.44	40.12	1
1.82	1.82	2.06	10.12	18.12	10.12	18.12	0.14	0.14	0.08	1.84	42.96	1
0.9	1.35	2.69	11.29	13.25	11.29	13.25	0.03	0.03	0.3	2.76	46.48	1
4.27	9.96	7.77	15.27	6.69	5.46	4.64	1.14	1.7	1.87	7.44	60.56	0
4.27	2.93	2.83	27.31	41.08	2.5	10.65	0.02	0.24	0.09	0.92	2.68	0
2.8	2.47	1.58	14.79	13.26	14.79	10.39	0.37	0.37	0.04	12.88	16.72	1
2.7	1.9	3.64	5.76	7.62	1.39	7.62	0.47	2.76	0.03	2.28	19.36	1
0.9	0.35	2.02	8.49	16.3	8.49	16.3	0.67	0.67	0.31	0.24	29.48	1
3.72	2.12	3.91	21.11	16.2	14.05	16.2	0.25	0.57	0.26	2.4	33.44	1
3.58	2.02	3.64	9.62	18.75	9.62	15.75	0.62	0.62	0.43	1.56	36.2	1
3.34	0.25	1.8	10.85	16.24	10.85	16.24	0.68	0.68	0.21	2.16	39.92	1
0.75	3.02	1.68	15.7	11.51	15.7	11.51	0.35	0.35	0.59	0.48	41.32	1
1.35	1.95	2.25	8.14	23.44	8.14	12.36	0.25	0.25	0.08	2.48	45.12	1
3.04	2.66	4.04	0.14	12.01	0.14	7.29	0.46	0.46	0.21	3.56	48.96	1
1.35	1.82	1.03	1.8	25.02	1.8	4.43	1.83	1.83	1.77	3	55.16	1
1.25	1.25	3.82	0.42	6.5	0.42	6.5	0.77	0.77	3.13	7.2	62.68	1
3.88	1.03	1.03	7.54	0.86	3.05	0.86	1.75	2.78	1.97	2.28	64.96	1
5.9	3.04	2.85	1.25	4.6	1.25	2.91	1.12	1.12	1.34	2.76	68.16	1
1.52	2.02	4.19	9.67	5.49	6.74	5.49	0.95	0.16	1.33	1.28	81.52	1
1.12	0.25	1.9	3.22	26.73	1.36	15.79	0.7	0.98	0.9	0.2	85.32	1
0.5	3.34	1.95	0.99	13.45	0.99	3.18	0.48	0.48	0.39	0.68	86.8	1
0.5	0	3.35	1.97	6.72	1.97	5.2	2.88	2.88	0.21	0.24	5.88	1
0.25	0	0.79	29.8	34.12	2.33	11.1	0.04	2	0.87	1.12	11.6	0
1.9	1.95	5.46	8.24	6.15	2.13	6.15	1	2.35	0.76	1.56	1.64	1
4.83	0.79	2.51	5.52	21.37	5.52	12.39	0.77	0.77	0.54	5.32	7.8	1
0.56	0.25	2.51	1.04	15.75	1.04	14.86	0.49	0.49	0.6	2	10.72	1
2.83	3.75	0.79	11.79	14	1.93	7.95	0.09	0.23	0.43	2.24	14.12	1
2.25	0.35	1.58	9.61	17.76	9.61	17.76	1.62	1.62	0.57	0	0.52	1
2.69	0.25	2.8	12.31	21.76	12.31	19.23	0.21	0.21	0.34	1.96	3.6	1
1	1.35	1.95	5.47	17.62	5.47	3.1	0.1	0.1	0.78	1.88	14.92	1
2.85	0.56	0.25	18.65	26.68	3.62	5.49	0.09	1.51	2.56	0.28	19.96	0
2.3	3.04	5.26	1.46	10.57	1.46	8.44	0.4	0.4	0.02	1.8	2.2	1
2.5	1.95	1.03	3.35	4.42	3.35	4.42	0.43	0.43	2.69	4.36	6.56	1
4.12	1.06	5.01	2.82	12.12	2.82	12.12	0.15	0.15	0.16	3.08	10.28	1
0.25	1.8	2.5	4.94	11.67	4.94	5.68	0.74	0.74	2.73	1.12	12.4	1
4.91	1.9	3.35	2.86	10.4	2.86	2.59	2.14	2.14	0.9	1.32	14.2	1
2.66	3.88	1.25	1.84	7.4	1.84	7.4	0.19	0.19	2.87	0.68	14.92	1
7.3	4.8	9.49	3.73	1.52	3.59	1.52	1.59	1.85	1.38	3.08	18	1
3.82	7.07	3.5	1.32	1.41	1.32	1.41	0.12	0.12	2.95	2.88	20.88	0
4.12	5.13	6.04	4.96	9.84	3.37	4.87	1.95	1.89	2.77	2.84	5.24	1
2.06	3.55	3.01	11.26	0.73	2.68	0.73	2.6	1.84	1.11	2.64	9.24	0
0.75	0.25	3.18	5.34	17.81	5.34	13.21	2.83	2.83	0.22	0	5.48	1
3.78	1.27	2.55	4.12	76.38	4.12	40.48	0.03	0.03	0.02	4.04	23.76	0
2.14	1.9	3.76	2.21	8.34	2.21	8.34	1.01	1.01	1.35	0.64	0.84	1
1.52	0.5	3.91	9.41	9.58	9.41	8.54	0.82	0.82	2.12	0	2.64	1
4.85	1.35	4.51	1.39	19.85	0.45	5.32	0.06	3.06	0.1	8.92	11.56	0
5.55	0.79	4.42	1.42	20.02	1.42	14.84	0.11	0.11	0.66	1.88	1.88	0
0.71	1.46	5.15	4.97	2.92	3.83	2.92	2.19	2.46	0.82	3.72	3.72	1
1.25	1.82	4.01	4.89	26.77	2.61	5.09	0.01	0.1	0.37	0.8	8.28	0
4.03	6.33	5.52	17.91	2.33	1.5	2.33	1.72	3.08	0.1	3.16	5.48	1
3.51	1.06	2.69	13.64	21.4	13.64	21.4	0.47	0.47	0.41	2.28	3.36	1
1.25	2.46	3.89	10.35	4.53	10.35	4.53	1.2	1.2	1.05	2.88	6.36	1
1.41	0.56	2.26	6.44	10.41	6.44	10.41	0.91	0.91	1.26	1.32	7.96	1
3.88	12.61	1.46	8.37	8.96	8.37	2.52	0.62	0.62	0.17	1.64	10.6	1
4.81	0.9	3.88	2.02	7.71	2.02	7.71	1.81	1.81	0.35	2.16	12.76	1
0.75	5.26	1.77	13.76	4.88	0.82	4.88	0.34	2.22	1.89	2.16	15.48	1
7.46	4.01	1.95	1.14	11.16	1.14	2.38	2.36	2.36	2.59	0.84	17.6	1
4.04	4.32	1.82	1.24	4.85	1.24	2.52	1.24	1.24	0.94	1.48	19.12	1
5.22	0.9	1.58	4.61	6	4.61	1.9	0.75	0.75	0.72	0.8	19.96	0
2.24	5.15	4.16	12.76	12.5	1.49	12.5	1.28	1.77	0.97	2.2	21.92	1
3.81	1.12	0.9	24.6	89.31	3.01	49.66	0.01	2.66	0.21	3.08	27.16	0
2.92	1.8	2.85	31.71	8.51	19.4	8.51	0.14	0.13	0.06	14.32	27.44	0
1.68	1.41	4.83	1.64	16.02	1.64	7.38	3.07	3.07	0.06	5.28	13.64	1
3.05	3.54	3.75	4.47	16.92	4.47	14.01	0.64	0.64	2.11	3.68	18.32	1
1.25	1.77	1.82	12.76	9.77	6.28	3.89	0.14	0.04	0.38	2.84	22.32	1
3.58	2.8	1.77	3.84	8.49	3.84	2.91	0.23	0.23	1.87	1.84	24.44	1
1.68	6.33	3.16	1.02	11.32	1.02	4.71	2.24	2.24	0.76	0.88	28.04	1
0.25	1.41	1.03	38.92	20.59	5.68	4.95	0.05	0.62	2.35	1.96	74.4	0
1.6	3.51	3.58	8.22	11.05	8.22	5.55	0.11	0.11	0.53	0.44	1.48	1
3.04	6.4	3.25	17.67	14.33	4.14	3.16	1.06	1.42	2.93	2.64	5.52	1
6.37	7.75	8.2	10.41	4.85	6.23	4.85	0.85	2.01	2.18	0.64	7.88	1
4.37	3.2	0.9	3.92	9.44	2.12	4.62	0.65	0.74	0.88	7.64	12.76	1
5.49	3.01	5.3	4.4	8.84	3.41	8.84	0.76	1.18	0.33	2	15.96	1
2.93	7.21	5.66	6.11	22.52	6.11	22.52	2.18	2.18	0.39	1.16	18.84	1
1.25	3.58	3.64	4.26	6.63	4.26	0.71	0.31	0.31	0.51	2.6	23.56	1
1.35	1.27	0.71	0.72	11.4	0.72	9.51	0.02	0.02	0.39	2.6	26.16	0
2.75	0.5	3.16	1.17	9.26	1.17	9.26	1.91	1.91	2.08	3.96	4.68	1
1.12	2.46	4.07	56.6	68.4	6.08	5.11	0.01	0.15	1.22	1.92	11.12	0
0.79	2.15	1.27	31.64	20.39	7.66	5.91	0.01	0.33	0.11	7.4	12.2	0
8.75	2.14	2.02	1.87	2.24	1.87	2.24	2.81	2.81	2.6	1.52	1.52	1
2.14	0.5	3.76	3.11	7.99	2.24	7.99	1.47	0.47	1.91	0	2.28	1
4.65	1.03	3.58	4.65	1.73	1.43	1.73	2.55	0.99	0.3	3.12	5.64	1
3.05	1.68	2.8	6.4	6.62	6.4	6.62	0.21	0.21	0.23	1.4	7.4	1
2.5	3.51	2.61	15.21	10.79	2.55	10.58	0.74	1.26	0.24	1.52	10.48	1
8.5	10.04	2.83	4.96	2.14	3.74	2.14	0.48	2.77	2.66	1.64	12.12	1
4.04	3.01	3.69	4.06	10.54	4.06	7.48	0.53	0.53	1.48	2.2	14.88	1
1.9	0.25	2.92	5.36	12.3	5.36	12.3	1.77	1.77	1.18	1.76	17.12	1
5.88	1.25	1.27	2.26	11.03	2.26	9.74	0.37	0.37	0.86	4.4	22.36	1
4.1	3.29	2.8	1.84	10.4	1.32	7.38	1.15	2.65	0.57	1.84	25.2	1
3.02	6.8	8.19	5.28	16.6	5.28	16.6	2.93	2.93	1.13	0.84	27.64	1
1.35	1.25	2.85	13.3	5.65	8.19	5.65	0.17	0.23	2.84	0	1.36	0
0.9	2.02	3.26	6.16	3.32	1.1	3.32	1.99	0.62	0.24	0.4	0.92	1
0.56	1.25	2.55	1.65	7.32	1.65	5.03	1.37	1.37	1.56	0.64	1.88	1
1.77	2.37	4.45	6.35	4.08	1.58	2.06	0.28	0.23	0.6	0.56	3.28	0
2.66	1.06	1.27	3.69	22.49	3.69	3.86	0.14	0.14	0.13	1.4	1.84	0
2.69	0.71	5.76	2.31	4.16	2.31	3.93	0.01	0.01	1.18	0.32	0.64	1
3.4	2.02	3.26	4.05	15.7	3.98	15.47	2.23	0.5	1.03	3.52	4.56	1
2.3	3.36	3.82	13.46	9.34	11.44	9.34	0.39	1.16	0.08	1.32	6.44	1
3.01	0.56	1.41	17.7	10.08	3.11	8.93	0.05	1.68	2.93	1.48	6.8	0
2.3	1.9	3.51	3.77	10.52	1.79	5.19	0.18	0.27	1.71	4.08	4.08	0
2.7	4.07	4.43	1.04	8.99	1.04	8.12	1.11	1.11	0.51	2.52	3	1
4.91	6.49	5.06	1	2.1	1	2.1	2.04	2.04	1.04	6.44	9.44	0
